http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	Reference	Number (Appenidx I)	Family	Species	Loads	Nest	Obs.	M	Acanthaceae	Adoxaceae	Aizoaceae	Amaryllidaceae	Altingiaceae	Anacardiaceae	Apiaceae	Apocynaceae	Aquifoliaceae	Araliaceae	Arecaceae	Asparagaceae	Asphodelaceae	Asteraceae	Balsaminaceae	Berberidaceae	Betulaceae	Bignoniaceae	Bixaceae	Boraginaceae	Brassicaceae	Cactaceae	Calceolariaceae	Campanulaceae	Capparaceae	Caprifoliaceae	Caryophyllaceae	Chenopodiaceae	Cistaceae	Clusiaceae	Colchicaceae	Commelinaceae	Convolvulaceae	Cordiaceae	Cornaceae	Costaceae	Crassulaceae	Cucurbitaceae	Cunoniaceae	Ebenaceae	Elaeagnaceae	Ericaceae	Escalloniaceae	Euphorbiaceae	Fabaceae	Fagaceae	Frankeniaceae	Gentianaceae	Geraniaceae	Grossulariaceae	Heliconiaceae	Hippocastanaceae	Hydrangaceae	Hypericaceae	Iridaceae	Juglandaceae	Juncaceae	Krameriaceae	Lamiaceae	Limnocharitaceae	Lauraceae	Liliaceae s.l.	Linaceae	Loasaceae	Lythraceae	Malpighiaceae	Malvaceae	Melanthiaceae	Melastomataceae	Meliaceae	Mimosaceae	Molluginaceae	Monocots	Muntingiaceae	Montiaceae	Myrtaceae	Nitrariaceae	Nyctaginaceae	Oleaceae	Onagraceae	Orobanchaceae	Oxalidaceae	Papaveraceae	Parnassiaceae	Passifloraceae	Phytolaccaceae	Pinaceae	Plantaginaceae	Plumbaginaceae	Poaceae	Polemoniaceae	Polygonaceae	Pontederiaceae	Primulaceae	Protaceae	Pteridaceae	Ranunculaceae	Resedaceae	Rhamnaceae	Rosaceae	Rubiaceae	Rutaceae	Salicaceae	Santalaceae	Sapindaceae	Saxifragaceae	Scrophulariaceae	Solanaceae	Sterculiaceae	Tamaricaceae	Theaceae	Turneraceae	Ulmaceae	Urticaceae	Verbenaceae	Violaceae	Vitaceae	Xanthorrhoaceae	Zygophyllaceae	Unknown
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L2	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Siriani-Oliveira et al (2018)	80	Colletidae	Actenosigynes mantiqueirensis	null	null	Obs.	10																																																																100.0																																																								
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L3	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Afranthidium alternans	20	null	null	20														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L4	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Afranthidium carduele	35	null	null	35														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L5	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Afranthidium pusillum	13	null	null	13														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L6	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1996a)	38	Megachilidae	Afranthidium schulthessi	23	null	null	23														100.0																																																																																																										
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L7	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Agapostemon sericeus	17	null	null	17						59.7								0.3												6.6							6.5																1.6			12.9																																								6.2											6.3																	
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L8	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Halictidae	Agapostemon virescens	12	null	null	12						22.2								56.9							7.2												0.6												13.1																																																																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L9	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Apidae	Amegilla albigena	13	null	null	13														4.1															8.1																34.5														44.4																													8.9																																
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L10	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Novel data	n/a	Apidae	Amegilla magnilabris	12	null	null	12														10.6						82.9						1.9																			0.9														3.7																																																													
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L11	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Dos Santos and Wittmann (2000)	5	Apidae	Ancyloscelis gigas	10	null	null	10																																																																																													100.0																											
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L12	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Andrenidae	Andrena (Andrena) fucata	74	null	null	74							13.7		1.3					1.4							2.9			1.4		2.9	0.2		12.8						0.4							0.3		0.1													0.7		0.0																													2.8				1.4					1.1		2.5	51.2				0.1	2.6															0.2
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L13	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Andrenidae	Andrena (Andrena) lapponica	50	null	null	50														2.8													0.8		1.5													83.4						0.1											0.1			0.6																				1.2						0.4						1.3			1.4			3.6			1.1		0.1	0.2														1.4
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L14	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Andrenidae	Andrena (Andrena) rogenhoferi	50	null	null	50							3.4							0.3		1.0					0.2			1.2		0.2			13.7								0.5					12.8						18.0																			3.9																														1.1		0.1	7.5			9.5		7.1	17.2														2.3
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L15	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Andrenidae	Andrena (Cnemidandrena) freygessneri	50	null	null	50														1.7							0.9						0.6		5.5								78.2					1.2						1.1											2.4																																									2.4						5.7														0.3
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L16	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Praz, C., Müller, A. & Genoud, D. (2019)	65	Andrenidae	Andrena (Euandrena) allosa	24	null	null	24														11.0							6.2								4.9																0.1										62.4							1.7																																			6.8			5.9																				1.0
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L17	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Praz, C., Müller, A. & Genoud, D. (2019)	65	Andrenidae	Andrena (Euandrena) amieti (all generations)	50	null	null	50														15.8							5.4			45.5			3.2		0.8		1.0											0.3							5.3						1.1																										1.1							0.1									2.8			9.3			6.9		0.9															0.3
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L18	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Praz, C., Müller, A. & Genoud, D. (2019)	65	Andrenidae	Andrena (Euandrena) montana	16	null	null	16														5.8										27.1			22.0		24.3	1.1							1.5												2.1										1.0																						7.8							2.7									4.0			0.6																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L19	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (1995)	37	Andrenidae	Andrena (Hamandrena) nasuta	26	null	null	26																				100.0																																																																																																				
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L20	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Müller, A. (2018a)	43	Andrenidae	Andrena (Oreomelissa) coitana	50	null	null	50							6.0							24.6										24.2					6.0								2.6											0.8											5.3																						3.5							2.4									0.3			18.3							5.7													0.3
line:xlsx:hash://md5/3d4a61547a8792d99a630317f1d8a9f8!/Sheet1!/L21	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	Wood (2023)	95	Andrenidae	Andrena aeneiventris	15	null	null	15							100.0																																																																																																																	
